name,bransje,kommune,fylke,source_category,companyid,source_url,reporting_year,co2_total_t,co2_fossil_t,co2_biogenic_t,biogenic_share_pct,biogenic_method,n2o_t,co2_eq_t,ets_allocated,ets_verified,ets_year,ets_flag,electricity_mwh,lat,lon,cluster,port_access,suitability_score,narrative,data_source
Norske Skog Union,Produksjon av papir og papp,Skien,Telemark,pulp_paper,,,2023,320000,60000,260000,81.2,reported,,320000,75000,70000,2023,"ETS verified (70,000 t) differs from reported CO₂ (320,000 t) by 78.1%",480000,59.208,9.609,Grenland,True,8.3,"Norske Skog Union is a pulp/paper facility in Skien in the Grenland cluster, emitting ~320 kt/y CO₂ (81% biogenic (reported)). High biogenic CO₂ share from biomass combustion; recovery boiler flue gas is concentrated and amenable to capture. Port access available.",public_estimate
Mongstad raffineri,Produksjon av raffinerte petroleumsprodukter og fossile brenselsprodukter,Alver,Vestland,refining,,,2023,1850000,1850000,,0.0,reported,,1850000,1800000,1820000,2023,,800000,60.64,5.219,Mongstad,True,7.5,"Equinor's Mongstad refinery is Norway's largest single industrial CO₂ source at ~1.85 Mt/y (100% fossil). The Marine Terminal provides world-class logistics; Equinor's existing CCS test centre (TCM) on site creates strong infrastructure synergies. Primarily a fossil CO₂ source, but scale and cluster infrastructure make this the leading large-scale site for CO₂ capture integration.",public_estimate
Gassco AS Kårstø prosessanlegg,Utvinning av naturgass,Tysvær,Rogaland,gas_processing,,,2023,1150000,1150000,,0.0,reported,,1150000,1100000,1080000,2023,,600000,59.424,5.579,Kårstø,True,7.4,"Kårstø is Equinor's largest onshore gas processing terminal (~1.15 Mt/y CO₂, 100% fossil). Existing LNG export infrastructure, dedicated power supply, and deep-water quay make this a Tier-1 logistics site. CO₂ is fossil, but the scale of operations and Equinor's CCS track record create a credible pathway for CO₂ utilisation.",public_estimate
Heidelberg Materials Brevik sementfabrikk,Produksjon av sement,Porsgrunn,Telemark,cement,5311,https://www.norskeutslipp.no/no/Diverse/Virksomhet/?CompanyID=5311,2023,719990,630690,89310,12.4,reported,,719990,687400,629617,2023,,158073,59.142,9.657,Herøya,True,7.4,"Norcem/Heidelberg Materials Brevik is Norway's largest cement plant and highest-priority CO₂ source at ~720 kt/y (12% biogenic from alternative fuels). The Longship CCS project began capturing ~400 kt CO₂/y from 2025, reducing net available offgas; residual biogenic CO₂ and process integration opportunities remain for e-fuel co-location at Herøya.",verified_dry_run
Heidelberg Materials Miljø AS avd. Brevik,Energigjenvinning,Porsgrunn,Telemark,waste_to_energy,5311,https://www.norskeutslipp.no/no/Diverse/Virksomhet/?CompanyID=5311,2023,719990,630690,89310,12.4,reported,,719990,687400,629617,2023,,158073,59.142,9.657,Herøya,True,7.4,"Heidelberg Materials Miljø AS avd. Brevik is a waste-to-energy facility emitting ~720 kt/y CO₂ (12% biogenic (reported)). Located in Porsgrunn in the Herøya cluster, with port access available. Mixed-waste incinerator; biogenic fraction is significant and should be verified via monitoring plan.",verified_dry_run
Mo Fjernvarme,Vannbåren og luftbåren varme- og kjøleforsyning,Rana,Nordland,district_heating,,,2023,60000,20000,40000,66.7,reported,,60000,,,,,,66.312,14.152,Mo Industripark,True,7.4,"Mo Fjernvarme operates district heating in Rana in the Mo Industripark cluster, emitting ~60 kt/y CO₂ (67% biogenic (reported)). Norwegian DH plants increasingly use biomass, elevating biogenic share. Port access available.",public_estimate
Mongstad kraftvarmeverk,Produksjon av raffinerte petroleumsprodukter og fossile brenselsprodukter,Alver,Vestland,refining,,,2023,800000,800000,,0.0,reported,,800000,750000,780000,2023,,,60.64,5.219,Mongstad,True,7.2,"Mongstad kraftvarmeverk is a petroleum refinery in Alver in the Mongstad cluster, emitting ~800 kt/y CO₂. Fossil CO₂; however refinery sites typically have large power infrastructure and marine terminals. Port access available.",public_estimate
Yara Porsgrunn,Produksjon av gjødsel og nitrogenforbindelser,Porsgrunn,Telemark,ammonia,5447,https://www.norskeutslipp.no/no/Diverse/Virksomhet/?CompanyID=5447,2023,755016,755016,,0.0,reported,667,953782,914865,964958,2023,"ETS verified (964,958 t) differs from reported CO₂ (755,016 t) by 27.8%",695372,59.142,9.657,Herøya,True,7.2,"Yara Porsgrunn is Europe's largest ammonia plant, emitting ~755 kt/y fossil CO₂ plus 667 t/y N₂O (~198 kt CO₂-eq). CO₂ is 100% fossil (SMR), but co-location at Herøya with existing H₂ infrastructure, pipeline connections, and deep-water quay makes this a Tier-1 BD target for CO₂ offtake and green H₂ supply.",verified_dry_run
Hydro Aluminium Karmøy,Produksjon av aluminium,Karmøy,Rogaland,aluminium,,,2023,650000,650000,,0.0,reported,,650000,620000,610000,2023,,3500000,59.267,5.253,Karmøy,True,7.1,"Hydro Karmøy is Norway's flagship aluminium technology pilot plant, emitting ~650 kt/y fossil CO₂ (anode oxidation). Enormous power infrastructure (3.5 TWh/y), dedicated port for ore/metal, and proximity to Equinor's Haugesund operations. CO₂ is fossil; however the scale of grid infrastructure is highly attractive for e-fuel co-siting.",public_estimate
Elkem Rana,"Produksjon av jern og stål, samt ferrolegeringer",Rana,Nordland,ferroalloy,,,2023,220000,180000,40000,18.2,reported,,220000,210000,205000,2023,,,66.312,14.152,Mo Industripark,True,7.0,"Elkem Rana is a ferroalloy/steel plant in Rana in the Mo Industripark cluster, emitting ~220 kt/y CO₂ (18% biogenic (reported)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",public_estimate
Glencore Rana AS,"Produksjon av jern og stål, samt ferrolegeringer",Rana,Nordland,ferroalloy,,,2023,280000,260000,20000,7.1,reported,,280000,270000,262000,2023,,,66.312,14.152,Mo Industripark,True,6.9,"Glencore Rana AS is a ferroalloy/steel plant in Rana in the Mo Industripark cluster, emitting ~280 kt/y CO₂ (7% biogenic (reported)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",public_estimate
Ineos Rafnes,Produksjon av andre organiske kjemiske råvarer,Bamble,Telemark,organic_chem,,,2023,320000,320000,,0.0,reported,,320000,310000,305000,2023,,,59.05,9.71,Grenland,True,6.9,"Ineos Rafnes is an organic chemicals/plastics facility in Bamble in the Grenland cluster, emitting ~320 kt/y CO₂ (fossil CO₂). Port access available.",public_estimate
Adesso Bioproducts,Produksjon av flytende biobrensel,Fredrikstad,Østfold,biorefinery,,,2023,25000,3000,22000,88.0,reported,,25000,,,,,,59.218,10.93,Øra,True,6.8,"Adesso Bioproducts is a biorefinery/biofuel plant in Fredrikstad in the Øra cluster, emitting ~25 kt/y CO₂ (88% biogenic (reported)). Purpose-built for biomass conversion — highest-credibility biogenic CO₂ source category. Port access available.",public_estimate
Eramet Norway AS Porsgrunn,"Produksjon av jern og stål, samt ferrolegeringer",Porsgrunn,Telemark,ferroalloy,,,2023,160000,140000,20000,12.5,reported,,160000,155000,148000,2023,,800000,59.142,9.657,Herøya,True,6.8,"Eramet Norway AS Porsgrunn is a ferroalloy/steel plant in Porsgrunn in the Herøya cluster, emitting ~160 kt/y CO₂ (12% biogenic (reported)). CO/CO₂ offgas streams are significant and could serve as e-fuel carbon feedstock (FT synthesis). Port access available.",public_estimate
